impacto_presupuestario_anio,impacto_presupuestario_mes,ejercicio_presupuestario,sector_id,sector_desc,subsector_id,subsector_desc,caracter_id,caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,tipo_id,tipo_desc,clase_id,clase_desc,concepto_id,concepto_desc,subconcepto_id,subconcepto_desc,fuente_financiamiento_id,fuente_financiamiento_id_desc,clasificador_economico_8_digitos_id,clasificador_economico_8_digitos_desc,prestamo_externo_id,prestamo_externo_desc,recurso_inicial,recurso_vigente,recurso_ingresado_percibido,ultima_actualizacion_fecha
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,14,Venta de bienes y servicios de administraciones públicas,1,Venta de bienes,1,Venta de bienes varios de la Administración Nacional,60,Imprenta del Congreso,1.3,Recursos con Afectación Específica,11400000,Ventas de bienes y serv. de las administraciones públicas,0,GENERICO,60,60,0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,11,Ingresos impositivos,9,Otros impuestos,9,Otros,29,Varios,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,"1243,234644","1243,234644","126,2459626",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,17,Transferencias corrientes,6,Transferencias corrientes del sector externo,2,Transferencias corrientes de organismos internacionales,0,Transferencias corrientes de organismos internacionales,2.1,Transferencias Externas,11732000,De organismos internacionales,90062501,Acciones de Promoción y Protección de Derechos NNA en medios de Comunicación,"8,255","8,255",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,11,Ingresos impositivos,9,Otros impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,"331172,680739","331172,680739",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,12,Ingresos no impositivos,9,Otros ingresos no impositivos,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,"6854,81546","6854,81546",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,11,Ingresos impositivos,9,Otros impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,"64426,084649","64426,084649","13766,54082561",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos no impositivos,1,Tasas,5,Judiciales,43,Fondo Nacional de la Justicia,1.3,Recursos con Afectación Específica,11310000,Tasas,0,GENERICO,"7396,162","7396,162","486,53112603",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos no impositivos,9,Otros ingresos no impositivos,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,"586,775469","586,775469","31194,41109192",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos no impositivos,9,Otros ingresos no impositivos,2,Especificados,93,Corte Suprema de Justicia - Varios no Tributarios,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,"34708,059","34708,059",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,360,Procuración General de la Nación,14,Venta de bienes y servicios de administraciones públicas,2,Venta de servicios,1,Venta de servicios varios de la Administración Nacional,29,Otros,1.3,Recursos con Afectación Específica,11400000,Ventas de bienes y serv. de las administraciones públicas,0,GENERICO,"418,067756","418,067756","115,831412",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,361,Defensoría General de la Nación,12,Ingresos no impositivos,9,Otros ingresos no impositivos,9,Otros,29,Otros,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,195,195,0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,361,Defensoría General de la Nación,14,Venta de bienes y servicios de administraciones públicas,2,Venta de servicios,1,Venta de servicios varios de la Administración Nacional,94,Defensoría General de la Nación,1.3,Recursos con Afectación Específica,11400000,Ventas de bienes y serv. de las administraciones públicas,0,GENERICO,"34,658","34,658",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,20,Presidencia de la Nación,8,Agencia Federal de Inteligencia,0,Agencia Federal de Inteligencia,302,Agencia Federal de Inteligencia,21,Recursos propios de capital,1,Venta de activos,3,Venta de maquinarias y equipos,0,Venta de maquinarias y equipos,1.3,Recursos con Afectación Específica,12111000,De activos fijos,0,GENERICO,93,93,0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,25,Jefatura de Gabinete de Ministros,1,Jefatura de Gabinete de Ministros,0,Jefatura de Gabinete de Ministros,305,Jefatura de Gabinete de Ministros,13,Aportes y contribuciones,1,Aportes y contribuciones a la seguridad social,2,Contribuciones patronales,29,Otras,1.3,Recursos con Afectación Específica,11200000,Aportes y contribuciones a la seguridad social,0,GENERICO,"826,777","826,777","254,89590192",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,25,Jefatura de Gabinete de Ministros,5,"Secretaría de Innovación, Ciencia y Tecnología",0,"Secretaría de Innovación, Ciencia y Tecnología",336,"Secretaría de Innovación, Ciencia y Tecnología",12,Ingresos no impositivos,2,Derechos,9,Otros derechos,9,Derechos de Actividad Comercial - APN,1.3,Recursos con Afectación Específica,11320000,Derechos,0,GENERICO,"1,2","1,2",0,Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,30,Ministerio del Interior,0,Ministerio del Interior,0,Ministerio del Interior,317,Ambiente,12,Ingresos no impositivos,1,Tasas,9,Otras,80,Secretaría de Ambiente y Desarrollo Sustentable,1.3,Recursos con Afectación Específica,11310000,Tasas,0,GENERICO,"176,00695","176,00695","35,11686483",Última actualización del ejercicio 2024: 12 Abril 2024.
2024,1,2024,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,30,Ministerio del Interior,0,Ministerio del Interior,0,Ministerio del Interior,317,Ambiente,17,Transferencias corrientes,6,Transferencias corrientes del sector externo,2,Transferencias corrientes de organismos internacionales,0,Transferencias corrientes de organismos internacionales,2.1,Transferencias Externas,11732000,De organismos internacionales,90045000,UNEP 01617 GEF 9955 Fortalecimiento de Capacidades para la Transparencia Climática Arg,"19,935655","19,935655",0,Última actualización del ejercicio 2024: 12 Abril 2024.
